Subject,Entry,Phoneme Count
S4ONCNYZ0,aardvark,7
S4ONCNYZ0,elephant,7
S4ONCNYZ0,lion,4
S4ONCNYZ0,tiger,4
S4ONCNYZ0,kangaroo,6
S4ONCNYZ0,camel,5
S4ONCNYZ0,cat,3
S4ONCNYZ0,dog,3
S4ONCNYZ0,frog,4
S4ONCNYZ0,gerbil,NA
S4ONCNYZ0,hamster,6
S4ONCNYZ0,rabbit,5
S4ONCNYZ0,zebra,5
S4ONCNYZ0,bear,3
S4ONCNYZ0,wolf,4
S4ONCNYZ0,lemur,4
S4ONCNYZ0,bird,3
S4ONCNYZ0,tortoise,6
S4ONCNYZ0,turtle,5
S4ONCNYZ0,fish,3
S4ONCNYZ0,whale,3
S4ONCNYZ0,dolphin,6
S4ONCNYZ0,seahorse,NA
SE01I28HZ,elephant,7
SE01I28HZ,antelope,7
SE01I28HZ,lion,4
SE01I28HZ,tiger,4
SE01I28HZ,bear,3
SE01I28HZ,dog,3
SE01I28HZ,cat,3
SE01I28HZ,mouse,3
SE01I28HZ,rat,3
SE01I28HZ,bat,3
SE01I28HZ,monkey,5
SE01I28HZ,gorilla,5
SE01I28HZ,cow,2
SE01I28HZ,horse,4
SE01I28HZ,donkey,5
SE01I28HZ,goat,3
SE01I28HZ,pig,3
SE01I28HZ,chicken,5
SE01I28HZ,zebra,5
SE01I28HZ,fox,4
SE01I28HZ,wolf,4
SE01I28HZ,polarbear,NA
SE01I28HZ,lynx,5
SE01I28HZ,cevit,NA
SGIS9NQLO,cat,3
SGIS9NQLO,dog,3
SGIS9NQLO,bird,3
SGIS9NQLO,fish,3
SGIS9NQLO,bear,3
SGIS9NQLO,monkey,5
SGIS9NQLO,rhinoceros,8
SGIS9NQLO,zebra,5
SGIS9NQLO,giraffe,4
SGIS9NQLO,wolf,4
SGIS9NQLO,bison,5
SGIS9NQLO,owl,2
SGIS9NQLO,wolf,4
SGIS9NQLO,panda,5
S5GIJW0G0,dog,3
S5GIJW0G0,cat,3
S5GIJW0G0,lion,4
S5GIJW0G0,cheetah,4
S5GIJW0G0,elephant,7
S5GIJW0G0,hippopotomus,NA
S5GIJW0G0,goat,3
S5GIJW0G0,horse,4
S5GIJW0G0,donkey,5
S5GIJW0G0,bear,3
S5GIJW0G0,cow,2
S5GIJW0G0,pig,3
S5GIJW0G0,zebra,5
S5GIJW0G0,sheep,3
S5GIJW0G0,lamb,3
S5GIJW0G0,monkey,5
S5GIJW0G0,gorilla,5
S5GIJW0G0,hippopotomus,NA
S5GIJW0G0,turtle,5
S5Y72EHLM,lions,5
S5Y72EHLM,tigers,5
S5Y72EHLM,bears,4
S5Y72EHLM,mouse,3
S5Y72EHLM,cat,3
S5Y72EHLM,dog,3
S5Y72EHLM,horse,4
S5Y72EHLM,zebra,5
S5Y72EHLM,gorilla,5
S5Y72EHLM,monkey,5
S5Y72EHLM,zebra,5
S5Y72EHLM,whales,4
S5Y72EHLM,dolphins,7
S5Y72EHLM,frogs,5
S5Y72EHLM,tadpoles,7
S5Y72EHLM,flies,4
S5Y72EHLM,mosquitos,8
S5Y72EHLM,bees,3
S5Y72EHLM,hornets,7
S5Y72EHLM,elephants,8
S5Y72EHLM,antelope,7
SR60YUOZ4,elephant,7
SR60YUOZ4,lion,4
SR60YUOZ4,giraffe,4
SR60YUOZ4,bear,3
SR60YUOZ4,cat,3
SR60YUOZ4,dog,3
SR60YUOZ4,turtle,5
SR60YUOZ4,fish,3
SR60YUOZ4,aardvark,7
SR60YUOZ4,amarillo,6
SR60YUOZ4,ostrich,6
SR60YUOZ4,kangaroo,6
SR60YUOZ4,alligator,7
SR60YUOZ4,crocodile,8
SR60YUOZ4,snake,4
SR60YUOZ4,monkey,5
SR60YUOZ4,gorilla,5
SR60YUOZ4,orangutan,8
SR60YUOZ4,horse,4
SR60YUOZ4,pig,3
SR60YUOZ4,cow,2
SR60YUOZ4,chicken,5
SP3FHVV4Q,cat,3
SP3FHVV4Q,dog,3
SP3FHVV4Q,frog,4
SP3FHVV4Q,turtle,5
SP3FHVV4Q,ant,3
SP3FHVV4Q,bee,2
SP3FHVV4Q,giraffe,4
SP3FHVV4Q,elephant,7
SP3FHVV4Q,tiger,4
SP3FHVV4Q,lion,4
SP3FHVV4Q,panda,5
SP3FHVV4Q,bear,3
SP3FHVV4Q,alligator,7
SP3FHVV4Q,crocodile,8
SP3FHVV4Q,snake,4
SP3FHVV4Q,lizard,5
SP3FHVV4Q,dragon,6
SP3FHVV4Q,bird,3
SP3FHVV4Q,gorilla,5
SP3FHVV4Q,ape,2
SP3FHVV4Q,monkey,5
SP3FHVV4Q,chimpanzee,8
SP3FHVV4Q,jaguar,6
SP3FHVV4Q,raccoon,5
SP3FHVV4Q,squirrel,6
S7DMEYVY5,ape,2
S7DMEYVY5,bear,3
S7DMEYVY5,baboon,5
S7DMEYVY5,cat,3
S7DMEYVY5,dog,3
S7DMEYVY5,elephant,7
S7DMEYVY5,frog,4
S7DMEYVY5,giraffe,4
S7DMEYVY5,gorilla,5
S7DMEYVY5,hyena,5
S7DMEYVY5,jackal,5
S7DMEYVY5,lion,4
S7DMEYVY5,monkey,5
S7DMEYVY5,duck,3
S7DMEYVY5,geese,3
S7DMEYVY5,pig,3
S7DMEYVY5,horse,4
S7DMEYVY5,goat,3
S7DMEYVY5,zebra,5
S7DMEYVY5,yak,3
S7DMEYVY5,tiger,4
SYW83L438,elephants,8
SYW83L438,tigers,5
SYW83L438,groundhogs,NA
SYW83L438,giraffes,5
SYW83L438,hippopotamuses,13
SYW83L438,cats,4
SYW83L438,dogs,4
SYW83L438,buffalos,7
SYW83L438,squirrels,7
SYW83L438,racoons,NA
SYW83L438,deer,3
SYW83L438,fox,4
SYW83L438,bass,3
SYW83L438,trout,4
SYW83L438,sharks,5
SYW83L438,turtles,6
SYW83L438,whales,4
SYW83L438,starfish,7
SYW83L438,jellyfish,7
SYW83L438,snakes,5
SYW83L438,rattlesnakes,10
SYW83L438,copperheads,8
SYW83L438,horses,6
SYW83L438,donkeys,6
SYW83L438,mules,5
SYW83L438,eagles,5
SYW83L438,hawks,4
SYW83L438,pigeons,6
SYW83L438,crows,4
SN25GCWOU,cat,3
SN25GCWOU,dog,3
SN25GCWOU,lion,4
SN25GCWOU,tiger,4
SN25GCWOU,bear,3
SN25GCWOU,polarbear,NA
SN25GCWOU,snakes,5
SN25GCWOU,squirrels,7
SN25GCWOU,chipmunks,NA
SN25GCWOU,fish,3
SN25GCWOU,sharks,5
SN25GCWOU,giraffe,4
SN25GCWOU,monkeys,6
SN25GCWOU,elephants,8
SN25GCWOU,pandabears,NA
SN25GCWOU,butterflies,8
SHJ7JVLTQ,dog,3
SHJ7JVLTQ,cat,3
SHJ7JVLTQ,rat,3
SHJ7JVLTQ,rabbit,5
SHJ7JVLTQ,rhinocerous,NA
SHJ7JVLTQ,giraffe,4
SHJ7JVLTQ,lion,4
SHJ7JVLTQ,tiger,4
SHJ7JVLTQ,bear,3
SHJ7JVLTQ,deer,3
SHJ7JVLTQ,alligator,7
SHJ7JVLTQ,racoon,NA
SHJ7JVLTQ,possum,5
SHJ7JVLTQ,zebra,5
SHJ7JVLTQ,horse,4
S83OXWG2O,cat,3
S83OXWG2O,dog,3
S83OXWG2O,bird,3
S83OXWG2O,zebra,5
S83OXWG2O,giraffe,4
S83OXWG2O,lion,4
S83OXWG2O,racoon,NA
S83OXWG2O,squirrel,6
S83OXWG2O,chipmunk,NA
S83OXWG2O,rat,3
S83OXWG2O,mouse,3
S83OXWG2O,horse,4
S83OXWG2O,donkey,5
S83OXWG2O,mule,4
S83OXWG2O,chicken,5
S83OXWG2O,goose,3
S83OXWG2O,duck,3
S83OXWG2O,fox,4
S83OXWG2O,coyote,5
S83OXWG2O,eagle,4
S83OXWG2O,robin,5
S83OXWG2O,redbird,6
S83OXWG2O,bluejay,5
