Subject,Entry,Phoneme Count
SA0EXFJ6O,dog,3
SA0EXFJ6O,cat,3
SA0EXFJ6O,goldfish,7
SA0EXFJ6O,llama,4
SA0EXFJ6O,horse,4
SA0EXFJ6O,pig,3
SA0EXFJ6O,turtle,5
SA0EXFJ6O,snake,4
SA0EXFJ6O,iguana,6
SA0EXFJ6O,hamster,6
SA0EXFJ6O,gerbil,NA
SA0EXFJ6O,pony,4
S0THV7BGE,dog,3
S0THV7BGE,cat,3
S0THV7BGE,rabbit,5
S0THV7BGE,squirrel,6
S0THV7BGE,leopard,5
S0THV7BGE,owl,2
S0THV7BGE,elephant,7
S0THV7BGE,giraffe,4
S0THV7BGE,hippo,4
S0THV7BGE,snake,4
S0THV7BGE,rhino,4
S0THV7BGE,ape,2
S0THV7BGE,monkey,5
S0THV7BGE,bear,3
SZ3H0G9LT,horse,4
SZ3H0G9LT,cat,3
SZ3H0G9LT,dog,3
SZ3H0G9LT,sheep,3
SZ3H0G9LT,lamb,3
SZ3H0G9LT,kangaroo,6
SZ3H0G9LT,owl,2
SZ3H0G9LT,hippo,4
SZ3H0G9LT,newt,3
SZ3H0G9LT,ape,2
SZ3H0G9LT,lion,4
SZ3H0G9LT,tiger,4
SZ3H0G9LT,pig,3
SZ3H0G9LT,rabbits,6
SQFKJHQT6,tiger,4
SQFKJHQT6,giraffe,4
SQFKJHQT6,monkey,5
SQFKJHQT6,dog,3
SQFKJHQT6,cat,3
SQFKJHQT6,rabbit,5
SQFKJHQT6,caterpillar,8
SQFKJHQT6,hippo,4
SQFKJHQT6,snake,4
SQFKJHQT6,orangatang,NA
SSM0G67C3,skunk,5
SSM0G67C3,rabbit,5
SSM0G67C3,groundhog,8
SSM0G67C3,deer,3
SSM0G67C3,elephant,7
SSM0G67C3,tiger,4
SSM0G67C3,lion,4
SSM0G67C3,zebra,5
SSM0G67C3,walrus,6
SSM0G67C3,cow,2
SSM0G67C3,dog,3
SSM0G67C3,chipmunk,NA
SI31BB1MB,elephant,7
SI31BB1MB,monkey,5
SI31BB1MB,gorilla,5
SI31BB1MB,bear,3
SI31BB1MB,kangaroo,6
SI31BB1MB,dog,3
SI31BB1MB,cat,3
SI31BB1MB,mouse,3
SI31BB1MB,parakeet,7
SI31BB1MB,birds,4
SQ6JD8QML,cat,3
SQ6JD8QML,dog,3
SQ6JD8QML,horse,4
SQ6JD8QML,goat,3
SQ6JD8QML,lion,4
SQ6JD8QML,cheetah,4
SQ6JD8QML,orangutan,8
