animal,4.81
artifacts,3.72
artwork,4.11
baby,5.26
backup data,4.18
backup storage device,3.96
bank records,4.71
bible,4.54
birth certificate,4.16
books,5.15
business documents,4.59
camera,4.87
cash,4.92
cat,4.78
checkbook,2.63
child,5.3
children,5.47
clothes,4.72
clothing,4.47
collectibles,3.11
comfort items,4.26
computer,4.97
credit cards,4.56
diary,4.09
documents,4.64
dog,5.1
electronics,4.19
emergency contacts,4.04
emergency kit,4.24
family,5.66
family heirlooms,2.59
family member,5.06
financial records,4.68
fire extinguisher,2.92
first aid kit,4.25
food,5.4
furniture,4.29
gems,3.75
gifts,4.38
heirlooms,2.59
identification,4.18
id,4.61
important items,4.69
important papers,4.55
insurance,4.94
insurance information,4.82
jewelry,4.12
journal,4.77
keepsakes,2.23
keys,4.39
kids,5.28
laptop,4.23
legal documents,4.51
letters,4.66
licenses,3.83
manuscripts,3.65
marriage records,4.6
medical records,4.71
medication,4.15
mementos,2.6
memorabilia,3.31
money,5.64
music,5.52
old people,5.63
paintings,4.2
papers,4.61
paperwork,3.84
parents,5.21
passport,4.05
people,6.25
person,5.55
personal care items,4.59
pet,4.45
pet supplies,4.16
pets,4.08
phone,5.3
photo album,4.69
photographs,4.34
photos,4.83
picture album,4.77
pictures,4.92
playstation,3.94
projects,4.81
purse,3.95
recipes,3.99
records,4.9
religious items,4.51
religious texts,4.22
research,5.39
safe,5.07
schoolwork,2.75
scrapbook,2.93
self,5.25
sentimental items,3.51
shoes,4.67
siblings,4.05
social security card,4.72
sports equipment,4.61
stuffed animals,3.91
suitcase,3.55
tax returns,4.49
television,4.79
toiletries,2.73
tools,4.59
toys,4.25
tv,5.2
valuables,3.1
vintage items,4.08
wallet,4.15
wallet purse,3.74
water,5.52
work,5.96
adoption records,4.1
bank card,4.8
birth records,4.53
bicycle,3.98
stock certificates,3.74
marriage certificate,4.2
yearbook,3.44
macbook,3.41
car,5.45
trash,4.42
coat,4.36
checks,4.31
cookbook,3.36
others,5.42
nothing,5.55
dirt,4.24
court documents,4.57
emergency bag,4.45
family album,4.93
family photos,4.77
family videos,4.73
home videos,4.75
family items,4.73
insurance records,4.62
games,5.44
infants,3.76
bird,4.63
ipad,4.1
important documents,4.58
insurance policy,4.74
charging cords,3.29
fish,4.9
women,5.57
men,5.51
personal things,5.09
