"word","In."
"activity book","TEFL"
"air conditioner","TEFL"
"air freshener","OSC"
"alphabet chart","GPT"
"apple","G"
"assignments","TEFL"
"attendance chart","GPT"
"backpack","ESL"
"badge","TEFL"
"bandaid","GPT"
"batteries","OSC"
"trash can","ESL"
"binder","ESL"
"binder clips ","OSC"
"binder dividers","OSC"
"binder labels","OSC"
"binder pockets","OSC"
"binder sheet reinforcements","OSC"
"binder tabs","OSC"
"black allpurpose markers","OSC"
"blackboard","ESL"
"whiteboard","ESL"
"blocks","GPT"
"book","ESL"
"bookbag","TEFL"
"bookcases","OSC"
"bookends","OSC"
"bookmarks","OSC"
"bookshelf","TEFL"
"box cutter","OSC"
"box cutter blades","OSC"
"box of crayons","G"
"broom","OSC"
"building blocks","GPT"
"bulletin board","ESL"
"bunsen burner","ESL"
"business cards","OSC"
"cabinets","Pilot"
"calculator","ESL"
"calendar","TEFL"
"carbon paper","OSC"
"carpet","Pilot"
"chair","ESL"
"chair floor mats","OSC"
"chalk","ESL"
"child","G"
"clay","ESL"
"clear binder document holders","OSC"
"clear cellophane tape","OSC"
"clear cellophane tape dispenser","OSC"
"clipboard","ESL"
"clock","ESL"
"clorox","TEFL"
"coasters","OSC"
"coat hooks","TEFL"
"coffee pot","OSC"
"color card stock","OSC"
"colored paper","TEFL"
"colored pencils","TEFL"
"coloring book","TEFL"
"coloring sheets","TEFL"
"compass","ESL"
"composition notebook","G"
"computer","TEFL"
"computer and monitor","OSC"
"computer screen and keyboard cleaner","OSC"
"computer laptop","ESL"
"construction paper","TEFL"
"correction fluid","OSC"
"crayons","TEFL"
"cubby hole","TEFL"
"cubbies","TEFL"
"decorations","GPT"
"desk","ESL"
"desk calendar","OSC"
"desk drawer organizers","OSC"
"desktop organizers","OSC"
"dictionary","TEFL"
"digital camera","OSC"
"dishwasher tabs","OSC"
"dishwashing liquid","OSC"
"disinfectant wipes","OSC"
"document sorter holder","OSC"
"door","TEFL"
"dry erase markers","TEFL"
"dry erase board","OSC"
"dry erase spray","OSC"
"duct tape","OSC"
"duster","OSC"
"duster cloths","OSC"
"dustpan","OSC"
"easel","ESL"
